Date,Power (kW),Power_second_derivative (kW),Power-1 (kW),Power_week (kW),Temperature (C),Humidity (%),SolarRad (W/m2),rain (mm/h),weekend_holiday
2017-11-10 15:00:00,311.0427241,0.8792854000000148,322.5868289,318.2020468,19.150000000000002,30.934166666666666,298.5416666666667,0.0,0
2017-11-10 16:00:00,300.3779047,-10.40004110000001,311.0427241,304.0620838,18.420833333333334,35.44833333333333,132.125,0.0,0
2017-11-10 17:00:00,279.3130442,-19.095726999999954,300.3779047,285.6010993,16.892500000000002,46.76666666666667,13.234166666666667,0.0,0
2017-11-10 18:00:00,239.1524567,-17.066078199999993,279.3130442,247.3558115,15.553333333333335,52.044999999999995,3.1306666666666665,0.0,0
2017-11-10 19:00:00,181.925791,20.04049109999997,239.1524567,184.8249893,15.277500000000002,51.805,3.458833333333333,0.0,0
2017-11-10 20:00:00,144.7396164,11.978402300000027,181.925791,145.4795448,15.070833333333333,53.25083333333333,3.2394166666666666,0.0,0
2017-11-10 21:00:00,119.5318441,3.534895299999988,144.7396164,116.9083054,14.625833333333333,57.5625,2.99025,0.0,0
2017-11-10 22:00:00,97.8589671,21.588690099999994,119.5318441,100.9862909,14.669166666666667,58.225833333333334,3.0226666666666664,0.0,0
2017-11-10 23:00:00,97.7747802,-2.632320099999987,97.8589671,99.7288326,14.341666666666667,60.770833333333336,2.9996666666666667,0.0,0
2017-11-11 00:00:00,95.0582732,-0.94266420000001,97.7747802,96.2849966,14.166666666666666,62.19916666666666,2.9606666666666666,0.0,1
2017-11-11 01:00:00,91.399102,1.0136790000000104,95.0582732,94.8540102,14.3175,61.369166666666665,3.046333333333333,0.0,1
2017-11-11 02:00:00,88.7536098,3.6354995999999886,91.399102,93.6629851,13.675833333333335,63.86166666666667,3.1384166666666666,0.0,1
2017-11-11 03:00:00,89.7436172,-2.2438386000000037,88.7536098,94.0342856,13.234166666666667,66.6375,2.84525,0.0,1
