Date,Power (kW),Temperature (C),Humidity (%),SolarRad (W/m2),rain (mm/h),weekend_holiday,Power_second_derivative (kW),Power-1 (kW),Power_week (kW)
2019-03-30 01:00:00,100.757,14.155833333333334,46.93666666666667,0.89075,0.0,1,-1.6599999999999966,99.546,118.987
2019-03-30 02:00:00,100.308,14.104166666666666,46.17916666666667,0.6738333333333334,0.0,1,-1.1000000000000085,100.757,118.389
2019-03-30 03:00:00,98.759,13.000833333333333,56.685833333333335,2.769083333333333,0.0,1,1.733000000000004,100.308,118.609
2019-03-30 04:00:00,98.943,11.924166666666666,68.5125,7.231333333333333,0.0,1,1.706000000000003,98.759,115.927
2019-03-30 05:00:00,100.833,11.274166666666666,60.9725,7.94875,0.0,1,-1.1430000000000007,98.943,113.2
2019-03-30 06:00:00,101.58,10.718333333333334,58.54666666666666,16.54975,0.0,1,15.271,100.833,117.588
2019-03-30 07:00:00,117.598,10.789166666666668,63.5725,160.375,0.0,1,-2.674999999999997,101.58,127.368
2019-03-30 08:00:00,130.941,11.348333333333334,52.49666666666667,308.94166666666666,0.0,1,-4.0390000000000015,117.598,133.765
2019-03-30 09:00:00,140.245,11.9275,46.68333333333334,326.15833333333336,0.0,1,-4.569000000000017,130.941,143.331
2019-03-30 10:00:00,144.98,12.015833333333331,50.86416666666667,194.45833333333331,0.0,1,2.894000000000034,140.245,152.078
2019-03-30 11:00:00,152.609,12.755833333333332,49.5875,214.33333333333331,0.0,1,5.500999999999976,144.98,150.413
2019-03-30 12:00:00,165.739,14.735,40.30833333333333,586.375,0.0,1,-35.602000000000004,152.609,154.245
2019-03-30 13:00:00,143.267,17.18583333333333,32.26583333333333,903.1666666666666,0.0,1,19.511000000000024,165.739,148.943
2019-03-30 14:00:00,140.306,18.98,25.89333333333333,752.9250000000001,0.0,1,2.6089999999999804,143.267,146.975
2019-03-30 15:00:00,139.954,20.15083333333333,24.109166666666667,616.1750000000001,0.0,1,-7.716000000000008,140.306,140.926
2019-03-30 16:00:00,131.886,20.266666666666666,28.515833333333333,430.2916666666667,0.0,1,-0.4919999999999902,139.954,137.579
